FIELD_ID,MAIN_CROP,VEG_START,H_START,H_END,PRACTICE,P_TYPE,P_START,P_END
31.0000003730124.001,1933,2019-05-20,2019-06-03,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003487830.001,242,2019-05-20,2019-06-03,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004049812.001,3506,2019-05-20,2019-06-03,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003758331.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003832018.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003465920.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003525102.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003870820.002,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003456194.001,1932,2019-05-20,2019-06-03,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003525217.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004201395.001,1933,2019-05-20,2019-06-03,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003536452.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_3,2019-10-15,NA
31.0000003647133.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003730114.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003903829.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004085345.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003944796.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
