MLAI        ALA         CrownCover  HsD         N           Cab         Car         Cdm         CwRel       Cbp         Bs          
1.834       65.17       0.9539      0.3215      2.066       80.83       20.21       0.003826    0.6976      0.5079      0.8329      
0.2029      56.33       0.9903      0.2811      1.268       78.64       19.66       0.004311    0.7055      0.3701      0.01407     
2.153       52.12       0.9371      0.4053      1.92        66.85       16.71       0.009035    0.7587      1.277       0.5224      
0.2566      30.82       0.9484      0.3106      1.879       53.1        13.27       0.007508    0.7201      1.597       0.9011      
2.135       36.76       0.9399      0.324       1.75        40.92       10.23       0.006737    0.7324      1.056       0.6415      
3.014       66.32       0.9056      0.3593      1.823       46.65       11.66       0.00464     0.8157      1.018       0.3655      
1.07        25.25       0.9491      0.1951      1.281       61.22       15.31       0.004621    0.742       1.264       0.5317      
0.5107      65.63       0.9844      0.1359      1.313       44.7        11.17       0.003303    0.683       0.9186      0.8618      
0.0664      24.66       0.9498      0.4446      2.065       65.18       16.29       0.0076      0.827       1.747       0.5449      
0.3936      53.45       0.9713      0.1777      1.428       71.5        17.87       0.009658    0.6419      1.166       0.6         
0.8297      25.67       0.9623      0.2364      1.478       65.32       16.33       0.007445    0.8065      0.7723      0.345       
3.401       47.24       0.903       0.1253      1.598       56.43       14.11       0.006056    0.667       1.274       0.3813      
7.963       37.74       0.8375      0.1872      1.527       47.96       11.99       0.004605    0.7414      0.2421      0.5652      
2.582       46.15       0.9324      0.4518      1.47        30.55       7.637       0.007912    0.7079      0.1042      0.2452      
0.9158      67.1        0.9411      0.2906      1.886       48.2        12.05       0.008035    0.8112      1.584       0.2942      
0.7019      51.45       0.9564      0.1117      1.414       43.26       10.82       0.009891    0.8114      0.039       0.1695      
2.482       51.68       0.9367      0.1436      1.908       26.95       6.737       0.007641    0.6497      0.14        0.2278      
6.229       33.48       0.8572      0.3672      1.589       47.3        11.83       0.005404    0.7074      0.5152      0.5184      
1.773       26.38       0.9258      0.4926      1.84        46.9        11.72       0.007686    0.7408      0.6745      0.4577      
0.1574      66.88       0.9862      0.4218      2.029       25.12       6.281       0.006237    0.6852      0.5939      0.4459      
3.008       61.18       0.9056      0.1985      1.504       39.04       9.761       0.008159    0.6613      1.023       0.765       
0.1597      33.58       0.9861      0.2103      1.533       47.08       11.77       0.009281    0.8156      0.1007      0.7799      
0.04062     7.382       0.9571      0.1355      1.238       83.95       20.99       0.006666    0.703       0.9147      0.8381      
1.572       11.64       0.9589      0.3152      1.848       69.85       17.46       0.007555    0.7519      1.362       0.6239      
1.091       67.43       0.9709      0.4211      1.432       79          19.75       0.01009     0.7962      0.876       0.577       
1.417       41.09       0.9594      0.2063      1.332       77.71       19.43       0.01007     0.7071      0.3488      0.2845      
3.92        52.4        0.9175      0.3756      1.92        52.25       13.06       0.006695    0.8073      1.159       0.7034      
5.153       28.98       0.8772      0.3316      1.81        48.93       12.23       0.005001    0.7785      0.1123      0.6352      
1.242       26.45       0.94        0.3437      1.782       82.72       20.68       0.008299    0.8269      1.605       0.5062      
6.861       29.29       0.8501      0.2964      1.473       56.97       14.24       0.006423    0.7245      0.1754      0.4307      
2.886       15.41       0.9185      0.3983      1.92        51.04       12.76       0.006037    0.6849      1.308       0.7541      
0.4931      72.06       0.9529      0.4374      1.34        60.01       15          0.007925    0.7865      1.853       0.9458      
1.228       26.34       0.9317      0.2084      1.747       66.05       16.51       0.005307    0.7892      0.9008      0.1016      
0.7532      10.98       0.9423      0.3468      1.366       80.81       20.2        0.004855    0.7064      1.089       0.3819      
0.8208      42.64       0.9485      0.2183      1.984       69.49       17.37       0.003612    0.6151      1.54        0.3355      
4.654       33.71       0.8997      0.3323      1.635       53.6        13.4        0.007776    0.7417      0.2255      0.5761      
0.5283      33.04       0.9706      0.3571      1.651       44.33       11.08       0.008362    0.6723      1.335       0.6548      
7.172       42.01       0.8449      0.2298      1.443       41.12       10.28       0.006177    0.7198      0.3698      0.526       
2.09        62.55       0.9519      0.3284      1.333       34.31       8.577       0.007648    0.7848      1.042       0.4029      
0.7457      35.52       0.9848      0.2011      1.393       53.36       13.34       0.005026    0.778       0.5654      0.7768      
1.611       47.31       0.9443      0.4503      1.626       25.76       6.44        0.004426    0.6859      0.567       0.1656      
3.226       61.37       0.9282      0.1348      1.531       45.84       11.46       0.008736    0.6806      0.824       0.2558      
0.5733      8.603       0.9475      0.4109      1.545       53.28       13.32       0.01052     0.8388      0.4683      0.3766      
0.9832      63.33       0.944       0.2775      1.544       51.48       12.87       0.00526     0.8257      1.646       0.0937      
5.58        49.22       0.8766      0.2874      1.743       38.99       9.747       0.006397    0.7923      0.5179      0.7014      
4.039       34.41       0.901       0.3356      1.869       70.25       17.56       0.007995    0.6961      1.009       0.3739      
0.8977      73.62       0.9462      0.2576      1.636       41.68       10.42       0.004944    0.8094      1.499       0.5983      
4.431       48.35       0.8922      0.2541      1.38        35.03       8.758       0.006836    0.7786      0.2411      0.245       
0.9974      43.22       0.9369      0.1538      1.578       68.55       17.14       0.007451    0.7798      0.6991      0.5766      
7.627       41.85       0.8442      0.4298      1.507       54.68       13.67       0.006044    0.7632      0.3315      0.5803      
0.7666      26.66       0.9561      0.11        1.65        67.37       16.84       0.009484    0.7183      1.256       0.4437      
5.543       43.81       0.8679      0.2052      1.43        36.54       9.135       0.005585    0.684       0.5052      0.5106      
0.1219      59.38       0.9603      0.2913      1.715       62.6        15.65       0.005866    0.6231      1.425       0.7599      
3.53        58.37       0.9264      0.1306      1.756       71.5        17.88       0.004022    0.8091      0.9401      0.7711      
7.618       48.44       0.8474      0.4314      1.645       39.76       9.939       0.006014    0.7348      0.2467      0.543       
6.568       42.08       0.8557      0.3419      1.602       41          10.25       0.00438     0.767       0.05831     0.3657      
2.222       68.39       0.9334      0.2929      1.394       61.45       15.36       0.005934    0.71        0.2154      0.7639      
0.6674      56.64       0.9441      0.3679      1.566       67.3        16.83       0.003913    0.7991      1.703       0.1854      
3.549       54.06       0.9121      0.4628      1.685       66.23       16.56       0.004798    0.8009      0.8213      0.7011      
6.104       53.23       0.8702      0.3754      1.501       49.02       12.26       0.007099    0.7103      0.6577      0.6616      
0.08501     40.19       0.9708      0.2265      1.68        40.25       10.06       0.009934    0.6395      0.1131      0.7966      
1.343       40.45       0.9649      0.2519      1.537       25.6        6.4         0.004816    0.8029      0.2363      0.8684      
0.4038      71.23       0.949       0.4926      2.137       29.65       7.413       0.005031    0.771       1.82        0.747       
3.161       40.94       0.9157      0.14        1.958       28.23       7.058       0.005572    0.7918      1.173       0.1707      
3.809       41.8        0.9167      0.4544      1.709       44.31       11.08       0.005753    0.778       1.081       0.4612      
6.274       37.45       0.8721      0.3943      1.747       56.15       14.04       0.004877    0.7819      0.3824      0.5425      
1.145       58.12       0.9722      0.1676      1.444       48.3        12.08       0.003605    0.7966      0.3893      0.3339      
2.541       53.15       0.9466      0.3709      1.658       36.38       9.095       0.008877    0.661       0.4694      0.4731      
2.032       13.23       0.945       0.4083      1.37        55.13       13.78       0.006198    0.8184      1.551       0.6001      
0.3105      20.9        0.9574      0.1169      1.341       72.17       18.04       0.00819     0.7578      0.1286      0.4989      
1.952       13.46       0.9255      0.3181      1.63        57.68       14.42       0.006738    0.7735      0.6636      0.4375      
1.669       32.15       0.9542      0.2612      1.846       71.21       17.8        0.009081    0.663       0.3931      0.3661      
