# doys noisy_lai estim_lai estim_err smooth_lai ndvi
0 0.110779 0.130675 -0.0519241 0.130675 -0.0714879
10 0.0969364 0.133512 -0.0334395 0.128891 0.0844319
20 0.0800293 0.118089 -0.0834127 0.121857 0.0753897
30 0.0206733 0.11695 -0.0565401 0.12606 0.073589
40 0.0797836 0.151247 -0.0705675 1.45763 0.208431
50 0 5.77796 0.225727 2.80332 nan
60 0.207026 0.147387 -0.0877523 1.46921 0.122903
70 0.150338 0.115902 -0.0853147 0.122991 0.148877
80 0.186594 0.112525 -0.0391821 0.128914 -0.114899
90 0.229768 0.171638 -0.0307602 1.22955 0.320689
100 3.08178 5.32535 -0.418037 3.1015 1.09931
110 5.86936 2.31049 -0.293683 3.03586 0.654986
120 5.98322 2.42202 -0.276644 2.93141 0.648716
130 6.42836 4.64893 -0.332796 3.41881 0.951879
140 6.10744 1.99813 -0.232687 2.80487 0.758046
150 6.15565 2.697 -0.344135 3.15302 0.945764
160 6.29725 5.39071 -0.369662 4.73289 1.13085
170 6.07562 5.41578 -0.367035 4.63592 0.977268
180 6.12871 2.34505 -0.300313 3.60648 0.694982
190 6.00078 4.50779 -0.362327 3.77238 1.5108
200 2.90001 3.71478 -0.353917 2.9239 1.13233
210 0.402525 0.22763 -0.106607 0.978175 0.371733
220 0.201846 0.147455 -0.0848723 0.181643 0.350435
230 0.157171 0.201978 -0.122425 0.183528 0.326578
240 0.1929 0.185151 -0.0859234 0.176274 0.249104
250 0.222639 0.134846 -0.0754928 0.16078 0.0630479
260 0.1631 0.186611 -0.120943 0.162365 0.360349
270 0.00366938 0.144925 -0.0764562 0.157852 0.253742
280 0.278922 0.154613 -0.0655802 0.166934 0.184183
290 0.269254 0.213363 -0.102575 0.190283 0.306559
300 0.210627 0.182852 -0.122398 1.52753 0.439935
310 0 5.77796 0.225727 2.82162 nan
320 0.0735121 0.143277 -0.0570174 1.45938 0.225915
330 0.0786863 0.127266 -0.0798841 0.13911 0.176218
340 0.0815692 0.156587 -0.0341475 0.167379 0.13258
350 0.142384 0.228591 -0.0842949 0.185937 0.331648
360 0.0276938 0.134854 -0.103336 0.134854 0.170791
