MLAI        ALA         CrownCover  HsD         N           Cab         Car         Cdm         CwRel       Cbp         Bs          
2.522       22.26       0.923       0.3567      1.965       41.41       10.35       0.008324    0.6403      1.014       0.2092      
1.683       55.25       0.9279      0.365       1.476       70.08       17.52       0.007729    0.683       1.074       0.7647      
4.05        53.45       0.9012      0.2479      1.669       62.12       15.53       0.003834    0.6872      0.0515      0.2142      
1.962       26.44       0.9339      0.4838      1.29        77.79       19.45       0.004836    0.6896      1.588       0.195       
0.5934      59.41       0.9753      0.3463      2.02        25.58       6.394       0.006559    0.7034      0.6742      0.04829     
2.352       28.29       0.9192      0.2038      1.49        29.24       7.309       0.008608    0.6777      0.8244      0.178       
1.347       51.62       0.9369      0.3533      1.475       50.32       12.58       0.005364    0.6203      0.2427      0.725       
6.427       32.49       0.8705      0.3778      1.48        43.93       10.98       0.006626    0.7846      0.5721      0.6076      
2.647       47.67       0.9149      0.4153      1.354       53.73       13.43       0.007505    0.6485      0.7934      0.1718      
3.864       37.67       0.894       0.1147      1.565       45.19       11.3        0.00403     0.7009      0.1201      0.3158      
4.522       54.12       0.8916      0.2445      1.744       58.78       14.69       0.004384    0.8043      0.8899      0.2834      
1.184       18.57       0.9678      0.1259      1.375       55.82       13.96       0.0097      0.6874      0.4144      0.2712      
5.366       51.79       0.8708      0.3389      1.628       44.94       11.23       0.004464    0.7758      0.3797      0.5333      
0.1766      30.07       0.9569      0.3505      2.027       55.13       13.78       0.005637    0.6335      1.938       0.8869      
2.792       63.57       0.9419      0.1342      1.952       58.88       14.72       0.003825    0.6951      0.7082      0.764       
0.4746      47.4        0.9642      0.2344      1.744       32.96       8.24        0.005783    0.7858      0.09141     0.09298     
6.996       39.34       0.8518      0.4411      1.441       55.29       13.82       0.005442    0.7624      0.5934      0.5967      
6.05        49.27       0.8771      0.477       1.7         47.37       11.84       0.00425     0.7577      0.1522      0.331       
4.013       42.71       0.8945      0.4849      1.645       31.5        7.875       0.004828    0.7405      0.8578      0.4388      
0.5752      19.73       0.9448      0.2135      1.698       69.65       17.41       0.004305    0.8295      1.633       0.4076      
5.678       44.26       0.8797      0.4245      1.602       60.52       15.13       0.004683    0.6862      0.4739      0.3438      
7.235       34.86       0.8452      0.1997      1.432       53.01       13.25       0.006312    0.7396      0.2989      0.5019      
1.81        38.83       0.9427      0.4486      2.06        80.84       20.21       0.006688    0.8207      0.2068      0.4252      
2.011       61.99       0.9219      0.2754      1.411       59.02       14.76       0.008248    0.6406      1.345       0.2501      
0.6408      40.89       0.9448      0.1057      1.272       68.35       17.09       0.004319    0.652       0.2614      0.6938      
4.573       38.05       0.8856      0.1862      1.524       45.24       11.31       0.006764    0.7708      0.3128      0.34        
7.279       33.57       0.849       0.3604      1.474       46.93       11.73       0.006279    0.7673      0.5044      0.4501      
1.462       22.17       0.9509      0.2142      1.56        74.74       18.69       0.007815    0.6246      0.4479      0.1816      
1.48        15.74       0.9407      0.466       1.749       73.91       18.48       0.009634    0.7106      0.2159      0.5843      
2.748       58          0.9282      0.2968      1.694       38.97       9.743       0.006145    0.7135      1.29        0.8227      
1.147       19.59       0.9483      0.2795      1.5         64.84       16.21       0.007907    0.7126      0.05323     0.6796      
0.8354      76.48       0.9736      0.1099      1.965       34.88       8.719       0.00831     0.6851      1.752       0.07809     
0.4533      40.35       0.9611      0.383       1.216       48.37       12.09       0.004429    0.8112      0.1329      0.9399      
0.942       49.8        0.9601      0.2673      1.502       57.41       14.35       0.005306    0.7594      0.9031      0.5655      
3.52        42.71       0.9068      0.2961      1.771       31.11       7.778       0.007242    0.685       0.04723     0.7047      
1.879       33.36       0.9528      0.4282      1.771       54.57       13.64       0.008953    0.8296      1.299       0.4264      
1.941       18.82       0.9574      0.3987      1.375       71.31       17.83       0.004738    0.7875      1.592       0.3969      
1.713       58.12       0.9325      0.3499      2.005       63.04       15.76       0.009258    0.6311      1.467       0.3066      
2.296       59.33       0.9215      0.247       1.964       67.06       16.77       0.004941    0.6758      0.5294      0.2684      
0.8733      61          0.9437      0.3368      1.48        57.39       14.35       0.008495    0.6614      0.1711      0.7925      
7.54        46.77       0.8475      0.4445      1.604       54.09       13.52       0.005957    0.7628      0.07981     0.4978      
3.946       39.75       0.8952      0.3682      1.498       58.27       14.57       0.006702    0.7673      0.4727      0.5836      
0.548       36.88       0.9865      0.3397      2.119       37.35       9.339       0.003764    0.7973      1.087       0.7652      
2.758       43.32       0.9441      0.2327      1.455       51.22       12.81       0.005014    0.7777      0.04246     0.6764      
0.7714      37.07       0.9709      0.3516      1.834       69.66       17.42       0.003373    0.7355      1.721       0.4052      
1.448       62.15       0.93        0.4008      1.278       62.69       15.67       0.004288    0.7617      1.216       0.757       
0.4616      15.76       0.9605      0.2118      1.829       37.6        9.4         0.006489    0.7714      0.7721      0.959       
4.641       54          0.8934      0.4141      1.459       63.89       15.97       0.004318    0.733       0.6381      0.6981      
0.8042      45.58       0.9388      0.4561      1.861       42.29       10.57       0.004714    0.6948      0.4446      0.9354      
7.025       38.87       0.8573      0.4891      1.657       38.92       9.729       0.005885    0.721       0.1114      0.5209      
7.078       35.75       0.8496      0.3848      1.487       41.59       10.4        0.005312    0.7496      0.1823      0.5774      
6.187       53.78       0.8715      0.198       1.479       40.58       10.15       0.005956    0.7036      0.4877      0.5388      
0.6641      38.21       0.9562      0.4736      1.772       71.57       17.89       0.009867    0.6395      1.851       0.6832      
2.026       61.79       0.9301      0.3869      1.775       54.67       13.67       0.006316    0.6458      0.5935      0.2368      
0.183       69.26       0.9522      0.1414      1.858       48.47       12.12       0.005848    0.807       0.6014      0.8695      
3.63        41.23       0.9207      0.1347      1.658       36.27       9.068       0.008505    0.6583      0.9849      0.4584      
3.786       22.17       0.8943      0.4537      1.762       39.78       9.944       0.004596    0.7788      0.03804     0.2801      
5.292       38.57       0.8835      0.4259      1.788       62.58       15.65       0.007281    0.6932      0.4865      0.6827      
7.91        45.4        0.8397      0.1865      1.448       43.88       10.97       0.005278    0.7444      0.3748      0.5489      
0.7959      37.4        0.9504      0.3887      1.467       31.18       7.796       0.01027     0.6143      0.594       0.6202      
1.688       33.31       0.9501      0.2989      1.327       55.89       13.97       0.003684    0.731       1.247       0.7748      
1.576       11.66       0.9535      0.2643      1.316       46.47       11.62       0.006648    0.6249      1.521       0.1492      
2.91        38.74       0.9339      0.1707      1.858       65.16       16.29       0.007641    0.6812      1.34        0.379       
1.991       57.45       0.9403      0.2313      1.413       38.2        9.549       0.007089    0.8242      0.3915      0.1435      
0.1325      16.67       0.9513      0.3245      1.438       34.51       8.628       0.006455    0.603       1.29        0.171       
2.102       12.59       0.9249      0.1334      1.938       73.38       18.35       0.004939    0.7353      0.6712      0.6031      
4.41        56.25       0.8862      0.3874      1.668       67.19       16.8        0.007817    0.7793      0.2346      0.2618      
6.84        51.14       0.8558      0.2945      1.653       48.79       12.2        0.006538    0.7345      0.5566      0.4139      
1.16        16.34       0.961       0.375       1.825       57.09       14.27       0.006008    0.741       0.962       0.6792      
5.09        44.2        0.8837      0.3029      1.418       42.71       10.68       0.006773    0.684       0.5426      0.5679      
1.313       66.49       0.9568      0.1389      1.53        83.95       20.99       0.006867    0.6685      0.2015      0.1272      
1.605       62.07       0.9418      0.2449      1.606       79.67       19.92       0.005395    0.6335      1.487       0.6519      
2.698       54.85       0.94        0.2013      1.979       29          7.25        0.007843    0.6756      1.412       0.6051      
2.547       17.85       0.9432      0.1909      1.978       42.26       10.56       0.005684    0.7446      0.7952      0.7795      
3.032       34.22       0.9135      0.2015      1.735       38.55       9.637       0.007383    0.7837      0.1259      0.653       
0.8231      65.16       0.9525      0.237       1.6         52.01       13          0.006072    0.6565      0.7901      0.8379      
7.768       35.25       0.8419      0.2833      1.647       43.68       10.92       0.005861    0.767       0.1196      0.4037      
1.6         32.11       0.957       0.4215      1.991       56.52       14.13       0.005853    0.7548      1.66        0.2351      
0.4317      23.55       0.9853      0.2309      1.869       41.46       10.37       0.005235    0.6386      1.388       0.8658      
0.5535      43.71       0.9715      0.429       1.996       68.43       17.11       0.006325    0.6603      0.09389     0.2556      
3.683       64.28       0.9209      0.3518      1.785       32.76       8.189       0.007282    0.7777      1.007       0.3836      
0.7362      50.83       0.9473      0.4093      2.03        33.3        8.324       0.004822    0.7503      1.611       0.7357      
