#  C1: wavelength(nm)  
#  C2: refraction index
#  C3: absorption by dry matter (Km (g.cm-2))
#  C4: absorption by chlorophyll a and b and carotenoids (kab (µg.cm-2))
#  C5: absorption by water (kw (cm-1=g.cm-2))
#  C6: absorption by brown pigments (relative units)

400.000         1.515721	104.684210	0.047207	0.000000	0.527183
401.000000	1.514833	104.684210	0.047207	0.000000	0.526183
402.000000	1.513944	104.684210	0.047207	0.000000	0.525184
403.000000	1.513122	104.684210	0.047207	0.000000	0.524184
404.000000	1.512300	104.684210	0.047207	0.000000	0.523184
405.000000	1.511543	100.048560	0.047447	0.000000	0.522184
406.000000	1.510786	95.412914	0.047688	0.000000	0.521184
407.000000	1.510093	90.812581	0.048156	0.000000	0.520185
408.000000	1.509400	86.212248	0.048624	0.000000	0.519185
409.000000	1.508769	81.647228	0.048368	0.000000	0.518185
410.000000	1.508139	77.082208	0.048112	0.000000	0.517185
411.000000	1.507569	72.552502	0.048094	0.000000	0.516185
412.000000	1.507000	68.022795	0.048075	0.000000	0.515185
413.000000	1.506486	63.528402	0.047887	0.000000	0.514186
414.000000	1.505971	59.034010	0.047698	0.000000	0.513186
415.000000	1.505486	56.195930	0.047497	0.000000	0.512186
416.000000	1.505000	53.357849	0.047297	0.000000	0.511186
417.000000	1.504526	50.541890	0.047027	0.000000	0.510186
418.000000	1.504052	47.725931	0.046757	0.000000	0.509187
419.000000	1.503626	44.932095	0.046581	0.000000	0.508187
420.000000	1.503200	42.138258	0.046405	0.000000	0.507187
421.000000	1.502855	39.366544	0.046430	0.000000	0.506187
422.000000	1.502509	36.594830	0.046454	0.000000	0.505187
423.000000	1.502205	33.845238	0.046546	0.000000	0.504187
424.000000	1.501900	31.095645	0.046639	0.000000	0.503188
425.000000	1.501594	29.808688	0.046650	0.000000	0.502188
426.000000	1.501287	28.521731	0.046661	0.000000	0.501188
427.000000	1.500994	27.244930	0.046702	0.000000	0.500188
428.000000	1.500700	25.968129	0.046742	0.000000	0.499188
429.000000	1.500440	24.701484	0.046553	0.000000	0.498188
430.000000	1.500180	23.434840	0.046365	0.000000	0.497189
431.000000	1.499940	22.178351	0.046207	0.000000	0.495994
432.000000	1.499700	20.921862	0.046048	0.000000	0.494799
433.000000	1.499466	19.675530	0.045917	0.000000	0.493604
434.000000	1.499232	18.429198	0.045786	0.000000	0.492409
435.000000	1.499016	17.848598	0.045617	0.000000	0.491214
