0.4	 0.0515997   0.0010789
0.401	 0.0514771   0.0010813
0.402	 0.0513545   0.0010838
0.403	 0.0512411   0.0010860
0.404	 0.0511278   0.0010883
0.405	 0.0510300   0.0011190
0.406	 0.0509326   0.0011505
0.407	 0.0508392   0.0011615
0.408	 0.0507459   0.0011726
0.409	 0.0506775   0.0012523
0.41	 0.0506109   0.0013375
0.411	 0.0505478   0.0014015
0.412	 0.0504858   0.0014687
0.413	 0.0504376   0.0015592
0.414	 0.0503913   0.0016555
0.415	 0.0503440   0.0017313
0.416	 0.0502979   0.0018105
0.417	 0.0502574   0.0019035
0.418	 0.0502186   0.0020014
0.419	 0.0501838   0.0020881
0.42	 0.0501503   0.0021787
0.421	 0.0501189   0.0022364
0.422	 0.0500881   0.0022958
0.423	 0.0500597   0.0023433
0.424	 0.0500315   0.0023917
0.425	 0.0499979   0.0024220
0.426	 0.0499643   0.0024527
0.427	 0.0499310   0.0024776
0.428	 0.0498977   0.0025030
0.429	 0.0498830   0.0025748
0.43	 0.0498690   0.0026485
0.431	 0.0498566   0.0027175
0.432	 0.0498449   0.0027886
0.433	 0.0498328   0.0028548
0.434	 0.0498213   0.0029227
0.435	 0.0498096   0.0029816
0.436	 0.0497984   0.0030414
0.437	 0.0498361   0.0032435
0.438	 0.0498797   0.0034595
0.439	 0.0499195   0.0036674
0.44	 0.0499650   0.0038883
0.441	 0.0500898   0.0043533
0.442	 0.0502415   0.0048766
0.443	 0.0503794   0.0053538
0.444	 0.0505413   0.0058798
0.445	 0.0506294   0.0061991
0.446	 0.0507270   0.0065370
0.447	 0.0508219   0.0068520
0.448	 0.0509255   0.0071833
0.449	 0.0509911   0.0074096
0.45	 0.0510603   0.0076427
0.451	 0.0511289   0.0078694
0.452	 0.0512009   0.0081024
0.453	 0.0511569   0.0080699
0.454	 0.0511133   0.0080381
0.455	 0.0510689   0.0079991
0.456	 0.0510250   0.0079610
0.457	 0.0510693   0.0081148
0.458	 0.0511151   0.0082710
0.459	 0.0511603   0.0084239
0.46	 0.0512071   0.0085796
0.461	 0.0511694   0.0085520
0.462	 0.0511320   0.0085244
0.463	 0.0510941   0.0084952
0.464	 0.0510565   0.0084662
0.465	 0.0510980   0.0086054
0.466	 0.0511406   0.0087463
0.467	 0.0511840   0.0088826
0.468	 0.0512284   0.0090202
0.469	 0.0512438   0.0090944
0.47	 0.0512596   0.0091692
0.471	 0.0512745   0.0092440
0.472	 0.0512901   0.0093202
0.473	 0.0513316   0.0094534
0.474	 0.0513747   0.0095893
0.475	 0.0514169   0.0097218
0.476	 0.0514606   0.0098569
0.477	 0.0514515   0.0098750
0.478	 0.0514420   0.0098923
0.479	 0.0514318   0.0099115
0.48	 0.0514216   0.0099308
0.481	 0.0515575   0.0102744
0.482	 0.0517006   0.0106296
0.483	 0.0518402   0.0109735
0.484	 0.0519866   0.0113282
0.485	 0.0520582   0.0115168
0.486	 0.0521315   0.0117078
0.487	 0.0522040   0.0118963
0.488	 0.0522786   0.0120879
0.489	 0.0525157   0.0126165
0.49	 0.0524983   0.0126252
0.491	 0.0527496   0.0131779
0.492	 0.0529930   0.0137080
0.493	 0.0532521   0.0142606
0.494	 0.0534825   0.0147514
0.495	 0.0537242   0.0152607
0.496	 0.0539590   0.0157518
0.497	 0.0542035   0.0162621
0.498	 0.0548023   0.0174221
0.499	 0.0554630   0.0186719
0.5	 0.0560899   0.0198378
0.501	 0.0567735   0.0210800
0.502	 0.0579983   0.0232157
0.503	 0.0594042   0.0255910
0.504	 0.0607067   0.0277383
0.505	 0.0621670   0.0300879
0.506	 0.0635152   0.0322154
0.507	 0.0649993   0.0345109
0.508	 0.0664015   0.0366447
0.509	 0.0679273   0.0389268
0.51	 0.0699856   0.0419294
0.511	 0.0722740   0.0451990
0.512	 0.0744162   0.0482087
0.513	 0.0767719   0.0514620
0.514	 0.0794819   0.0551326
0.515	 0.0824798   0.0591187
0.516	 0.0852888   0.0628008
0.517	 0.0883605   0.0667631
0.518	 0.0912567   0.0704551
0.519	 0.0943868   0.0743937
0.52	 0.0973517   0.0780879
0.521	 0.1005373   0.0820164
0.522	 0.1023247   0.0842407
0.523	 0.1041831   0.0865446
0.524	 0.1059827   0.0887681
0.525	 0.1078518   0.0910688
0.526	 0.1090248   0.0925438
0.527	 0.1102350   0.0940605
0.528	 0.1114091   0.0955317
0.529	 0.1126208   0.0970425
0.53	 0.1126244   0.0971457
0.531	 0.1130280   0.0977155
0.532	 0.1134448   0.0983009
0.533	 0.1138442   0.0988703
0.534	 0.1142569   0.0994553
0.535	 0.1151630   0.1006195
0.536	 0.1160747   0.1017889
0.537	 0.1169794   0.1029554
0.538	 0.1178890   0.1041263
0.539	 0.1185993   0.1050643
0.54	 0.1193084   0.1060000
0.541	 0.1200093   0.1069170
0.542	 0.1207191   0.1078441
0.543	 0.1213921   0.1087313
0.544	 0.1220618   0.1096148
0.545	 0.1227227   0.1105023
0.546	 0.1233917   0.1113984
0.547	 0.1240794   0.1123194
0.548	 0.1247638   0.1132360
0.549	 0.1254468   0.1141418
0.55	 0.1261379   0.1150568
0.551	 0.1260969   0.1151338
0.552	 0.1260559   0.1152110
0.553	 0.1260128   0.1152930
0.554	 0.1259699   0.1153747
0.555	 0.1251977   0.1146290
0.556	 0.1244335   0.1138902
0.557	 0.1236641   0.1131477
0.558	 0.1228910   0.1123989
0.559	 0.1215278   0.1109692
0.56	 0.1201915   0.1095650
0.561	 0.1188350   0.1081322
0.562	 0.1175165   0.1067379
0.563	 0.1158062   0.1048744
0.564	 0.1141516   0.1030669
0.565	 0.1124634   0.1012033
0.566	 0.1108214   0.0993849
0.567	 0.1091958   0.0975770
0.568	 0.1076149   0.0958129
0.569	 0.1059954   0.0940002
0.57	 0.1059907   0.0941287
0.571	 0.1044182   0.0923623
0.572	 0.1029731   0.0907406
0.573	 0.1015682   0.0891520
0.574	 0.1001370   0.0875226
0.575	 0.0987464   0.0859298
0.576	 0.0979232   0.0850320
0.577	 0.0971125   0.0841472
0.578	 0.0962927   0.0832472
0.579	 0.0954854   0.0823609
0.58	 0.0942026   0.0808731
0.581	 0.0929602   0.0794276
0.582	 0.0916914   0.0779402
0.583	 0.0904585   0.0764866
0.584	 0.0895820   0.0754821
0.585	 0.0887239   0.0744916
0.586	 0.0878523   0.0734789
0.587	 0.0869997   0.0724812
0.588	 0.0867183   0.0722230
0.589	 0.0864397   0.0719641
0.59	 0.0861569   0.0716987
0.591	 0.0858817   0.0714395
0.592	 0.0855118   0.0710553
0.593	 0.0851461   0.0706717
0.594	 0.0847777   0.0702838
0.595	 0.0844140   0.0698960
0.596	 0.0837380   0.0690944
0.597	 0.0830698   0.0682947
0.598	 0.0824023   0.0674925
0.599	 0.0817415   0.0666945
0.6	 0.0809916   0.0657733
0.601	 0.0802602   0.0648740
0.602	 0.0795142   0.0639509
0.603	 0.0787844   0.0630426
0.604	 0.0780050   0.0620621
0.605	 0.0772499   0.0611039
0.606	 0.0764765   0.0601151
0.607	 0.0757259   0.0591506
0.608	 0.0746238   0.0576897
0.609	 0.0735639   0.0562781
0.61	 0.0724759   0.0548151
0.611	 0.0724616   0.0548689
0.612	 0.0714096   0.0534426
0.613	 0.0707187   0.0525188
0.614	 0.0700411   0.0516089
0.615	 0.0693536   0.0506767
0.616	 0.0686869   0.0497692
0.617	 0.0684781   0.0495305
0.618	 0.0682739   0.0492979
0.619	 0.0680682   0.0490615
0.62	 0.0678639   0.0488264
0.621	 0.0675480   0.0484210
0.622	 0.0672356   0.0480198
0.623	 0.0669195   0.0476068
0.624	 0.0666100   0.0472026
0.625	 0.0665573   0.0471773
0.626	 0.0665015   0.0471475
0.627	 0.0664502   0.0471208
0.628	 0.0663990   0.0470942
0.629	 0.0663252   0.0470298
0.63	 0.0662545   0.0469703
0.631	 0.0661821   0.0469042
0.632	 0.0661129   0.0468428
0.633	 0.0655012   0.0459611
0.634	 0.0649058   0.0450985
0.635	 0.0643020   0.0442142
0.636	 0.0637122   0.0433456
0.637	 0.0629303   0.0421706
0.638	 0.0621805   0.0410357
0.639	 0.0614110   0.0398551
0.64	 0.0606726   0.0387131
0.641	 0.0599219   0.0375361
0.642	 0.0592011   0.0363959
0.643	 0.0584616   0.0352126
0.644	 0.0577538   0.0340691
0.645	 0.0569890   0.0328196
0.646	 0.0562616   0.0316181
0.647	 0.0555105   0.0303596
0.648	 0.0548025   0.0291590
0.649	 0.0541902   0.0281055
0.65	 0.0536084   0.0270939
0.651	 0.0536073   0.0271051
0.652	 0.0530072   0.0260456
0.653	 0.0524405   0.0250336
0.654	 0.0517309   0.0237437
0.655	 0.0510711   0.0225264
0.656	 0.0503806   0.0212286
0.657	 0.0497442   0.0200114
0.658	 0.0489482   0.0184499
0.659	 0.0482381   0.0170181
0.66	 0.0474773   0.0154381
0.661	 0.0468152   0.0140142
0.662	 0.0465582   0.0134536
0.663	 0.0463151   0.0129167
0.664	 0.0460627   0.0123510
0.665	 0.0458222   0.0118109
0.666	 0.0456883   0.0115131
0.667	 0.0455577   0.0112245
0.668	 0.0454242   0.0109260
0.669	 0.0452959   0.0106368
0.67	 0.0451342   0.0102629
0.671	 0.0449808   0.0099037
0.672	 0.0448232   0.0095290
0.673	 0.0446735   0.0091682
0.674	 0.0446523   0.0091307
0.675	 0.0446299   0.0090937
0.676	 0.0446069   0.0090553
0.677	 0.0445813   0.0090175
0.678	 0.0447618   0.0095003
0.679	 0.0449567   0.0100102
0.68	 0.0451451   0.0104958
0.681	 0.0453499   0.0110057
0.682	 0.0457702   0.0120115
0.683	 0.0462460   0.0131147
0.684	 0.0466951   0.0141302
0.685	 0.0471913   0.0152306
0.686	 0.0483854   0.0177508
0.687	 0.0498660   0.0207238
0.688	 0.0511976   0.0232882
0.689	 0.0527681   0.0261983
0.69	 0.0554809   0.0309891
0.691	 0.0554775   0.0310050
0.692	 0.0589316   0.0367905
0.693	 0.0619814   0.0416824
0.694	 0.0656313   0.0473213
0.695	 0.0712312   0.0556095
0.696	 0.0783378   0.0656568
0.697	 0.0845487   0.0741144
0.698	 0.0920004   0.0839459
0.699	 0.0992422   0.0932410
0.7	 0.1077380   0.1038757
0.701	 0.1153991   0.1132707
0.702	 0.1241559   0.1238097
0.703	 0.1323821   0.1335583
0.704	 0.1416614   0.1443920
